profile_id,pres,temp,lat,lon,psal,date
5904437_131,1999.6,2.316,-49.507,-177.884,NULL,2018-06-01T23:57:40.002Z
5904412_127,6.4,9.046,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,10.4,9.043,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,20.6,9.045,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,30.7,9.047,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,41.0,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,50.5,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,60.0,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,70.4,9.049,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,80.9,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,90.8,9.053,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,100.7,9.065,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,110.7,9.068,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,120.1,9.062,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,130.4,9.05,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,139.5,9.042,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,150.7,9.026,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,160.4,7.609,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,170.3,7.429,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,180.5,7.408,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,190.4,7.671,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,200.5,7.529,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,210.4,7.494,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,220.5,7.353,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,231.0,7.303,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,240.6,7.2,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,250.5,7.145,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,259.9,7.001,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,270.4,6.797,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,279.9,6.698,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,290.9,6.622,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,300.7,6.628,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,310.8,6.523,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,321.0,6.485,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,330.9,6.415,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,340.4,6.336,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,350.3,6.252,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,361.0,6.201,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,380.7,6.15,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,400.7,5.946,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,450.3,5.69,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,500.7,5.506,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,550.3,5.27,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,600.5,4.998,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,650.9,4.906,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,700.4,4.685,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,750.2,4.391,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,800.7,4.187,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,850.3,3.927,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,901.0,3.663,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,950.3,3.564,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1000.8,3.419,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1050.7,3.315,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1100.7,3.183,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1150.0,3.116,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1201.0,3.037,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1250.7,2.956,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1301.0,2.87,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1350.8,2.802,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1397.6,2.742,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1450.4,2.684,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1500.9,2.644,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1550.5,2.603,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1600.6,2.551,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1650.9,2.513,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
5904412_127,1700.8,2.484,-52.937,-173.226,NULL,2018-06-01T23:56:11.002Z
